ID,Year,Person,Gender,Party,State,Text
1,2012,"Cormann, Sen Mathias",1,LP,WA,"Collecting statistical information is core business for the ABS, and the government has full confidence in their capacity to deliver this opportunity for Australians to have their say.                  However, we need to be assured that the statistical information obtained has not been subject to influences such as bribery and threats or misleading information about how to complete the survey form, and ensure that those that engage in such influencing behaviour are held to account. To address this, the bill will put in place a range of measures to ensure the integrity of the statistics that are collected as part of the process. The bill includes penalties for receiving and giving bribes or making threats to influence or affect people's decisions on this matter, including whether to respond. It also includes a civil penalty for printing, publishing and distributing matters or things that are likely to mislead or deceive a person in how they respond to the survey, for example, how the survey response is marked."
2,2012,"Cormann, Sen Mathias",1,LP,WA,"The bill also includes offences for officers who engage in conduct with the intention of influencing the content of a response provided to the statistician. Again, that is consistent with what would apply in the context of an election period.                 The government believes that the Australian people are able to have this debate respectfully and courteously. We also believe that Australians will judge anyone harshly, on either side of the debate, who pursues inappropriate and offensive arguments. We certainly call on all Australians to participate in this debate with courtesy and respect. However, the government acknowledges that we cannot guarantee that all Australians will at all times express their opinions on that basis. For this reason, the bill will also establish an offence for grievous conduct against those participating in the debate, or against those who may hold strong views on the survey question. The bill contains provisions against vilification, intimidation and threat to cause harm, as well as for hindering or interfering with a person in making a response, or discriminating against a person for making a donation relating to the marriage law survey."
3,2012,"Cormann, Sen Mathias",1,LP,WA,"Importantly, and I stress this point, merely expressing a view about the marriage law survey question does not trigger the offence provisions against vilification, intimidation or the threat of harm. The conduct would have to be vilification, intimidation or threat to cause harm.                 While the government would like nothing more than for these provisions never to be used, their inclusion gives the parliament the opportunity to send a clear message that hateful and malicious conduct will not be tolerated. I remind the parliament that the government's preference was to deliver on the commitment to give the Australian people a say on whether or not the law should be changed to allow same-sex couples to marry through a compulsory attendance plebiscite. Such an approach would have brought with it many existing safeguards and protections. As we proceed with the survey as the new mechanism to give the Australian people their say, we need to separately provide those safeguards to ensure all Australians have the opportunity to participate in this process in the right environment."
4,2012,"Wong, Sen Penny",0,ALP,SA,"I rise to speak on the Marriage Law Survey (Additional Safeguards (Bill) Bill 2017. This bill cannot cure a flawed process. It cannot stop all the hurt, all the prejudice that is being expressed, all the lack of acceptance that is being communicated to LGBTI persons and to same-sex-couple families. But it provides limited protections, and on that basis the opposition will be supporting it. I want to acknowledge Senator Cormann's work with stakeholders, the opposition and others, the crossbench, to reach agreement on the matters contained in this bill. I also recognise the efforts of Mr Dreyfus and Ms Butler from the Labor Party.                  Labor regrets that this bill is necessary. It wouldn't have been necessary if the Prime Minister had shown some leadership on this issueif he had been prepared to grant a free vote and have this parliament do its job. We all remember the origins of the plebiscite, which Senator Cormann has extolled the virtues of. In August 2015 there was a very long party room meeting to discuss a public vote on marriage equality, and what did we get?"
5,2012,"Wong, Sen Penny",0,ALP,SA,"This policy of a plebiscite was dreamt upanother obstacle, another hurdle, another delay; an obstacle designed by hardline opponents, Mr Abbott and Senator Abetz, to make it more difficult for equality to be achieved.                  A plebiscite is a pretty cruel and cynical tactic. It is a mechanism designed by those who will never agree with equality in this country on this issue. It's a policy that had its origins in the dying days of the Abbott prime ministership but it was taken on by Mr Turnbull almost as an article of faith. That, I think, has been to his detriment and to the great disappointment of many people in this country. I thank the Senate for its rejection of the plebiscite on no fewer than two occasions. It would have been good if that had led the government to recognise that it was time for parliament to do its jobto do what millions of Australians wanted, which was to get a vote done on an issue that has, regrettably, been unresolved for too many years. When this chamber did the right thing, did what the Australian people soughtto vote against a political tacticthe government turned to a non-legislative method, which is, of course, the flawed postal survey that we are now confronted with. We are having a $122 million survey because the Prime Minister doesn't want a vote in the parliament. There are very few times when you get a number on someone's weakness but we have one: $122 million. It is a waste of time and a waste of money. As I have said, we oppose this survey, but those of us who support marriage equality on all sides have to campaign to win it. We are where we are and we have to stand up for our values."
6,2012,"Gallagher, Sen Katy",0,ALP,ACT,"In the very short time before the dinner break, I'm going to make a start on my speech. I welcome the opportunity to speak on the Marriage Amendment (Definition and Religious Freedoms) Bill 2017.                 As many have already commented in this place, 15 November, just a couple of weeks ago now, was certainly a historic day. For me, it was the day that the Australian people told politiciansas they have in various polls over the past few yearsto get on and legislate for marriage equality. As many others have also said in this debate so far, I'm one of those who didn't believe the survey was needed and that the $100 millionor however much it turns out to bespent on holding it could have been used for so many more worthy pursuits. The harm that has been done, particularly to the LGBTIQ community and their families, will, for many, take a long time to overcome. The Australian community voted overwhelmingly. "
7,2013,"Gallagher, Sen Katy",0,ALP,ACT,"Before the dinner break I was saying the Australian community has voted overwhelmingly to remove discrimination from marriage and to support equality, and now it is time for the Australian parliament to act and reflect that will of the Australian people in the bill that we are debating today. I'm not going to speak for too long, but I wanted to concentrate my remarks on the history of the equality campaign here in the ACT that I've now been involved in for more than 15 years. I think it is somewhat appropriate that we are debating this legislation here in Canberra which, whilst it is the nation's capital, the seat of government and the place where politics happen, is also a very strong and supportive community and town which has fought very hard to ensure that there is equality across the statute book and that all members of our community are treated equally."
8,2013,"Seselja, Sen Zed",1,LP,ACT,"We are concerned that if changes are made to the Sex Discrimination Act 1984  without creating adequate positive protections for our schools                 that's the important point the effect would be to profoundly compromise the ability of our schools to act in accordance with their beliefs and convictions. ††††††  no changes should be made to legislation affecting our schools, until there is also adequate protection in place for schools to maintain their beliefs and character as faith-based schools. Christian schools need legislation that gives us much clearer assurance that schools can continue to: Teach in a manner that is consistent with the religious beliefs of the school; Manage student behaviour according to the expectations and beliefs of the school community  In further testimony, the Australian Association of Christian Schools said:  if they are removed and adequate protection isn't given to schools to hold a commonly held biblical view of sexuality and relationships in what is taught and in managing school life and in who the school employs, you'll be carving out an area of faith and deeming it impermissible. You'll be deciding that those long-held beliefs of many Christians can't be expressed in education at alland that's a serious step for a government to take. They are concerned that, without adequate protection, schools could be forced to teach in ways that contradict what they genuinely believe, to act against their conscience and beliefs in the way they handle behaviour, and to employ staff who don't share in and meaningfully uphold the beliefs of the school.  "
9,2013,"Seselja, Sen Zed",1,LP,ACT,"In my contribution on Thursday, I made clear some of the concerns in the community about an unamended version of this bill and its implications. To quote Senator Keneally, in her contribution:                 We also know that the overwhelming majority of religious schools do not want or see the need for these exemptions. We know this as a result of the recent Senate inquiry, where Catholic and other religious school systems gave evidence that these exemptions are not used or relied upon. I went through Christian Schools Australia65,000 students plus the 15,000 from Adventist schoolsand the Australian Association of Christian Schools110 or so schools with 45,000 students. I also talked about the statements from members of the Australian Catholic Bishops Conference, who educate around 766,000 students in this country, and a number of others. Even if we were to accept, despite the fact that those numbers tell a very, very different story, that there are no significant concerns or that it's only a minority, this goes to the very point about what religious freedom is and what freedom of religious belief is. It's not about whether there's a majority who have a particular view; it's about whether or not there is a right to express that view."
10,2013,"Kitching, Sen Kimberley",0,ALP,VIC,"It follows from this that such schools have a right to require that both students and teachers act in a way which is broadly consistent with the faith and practices of the religious denomination. If they are to be denied that right, the school cannot serve the purpose for which it was established. However, there is also a majority view in Australia that Australians should not be discriminated against on the grounds of sexuality or gender identity. In relation to schools, this is the view particularly in relation to discrimination against students. It is the need to reconcile these two broadly accepted propositions and the difficulty in doing so that has been brought into sharp focus in the wake of the marriage equality survey and subsequent legislation and the subsequent Ruddock report, which again I say we are yet to see.                  The Sex Discrimination Act currently provides certain exemptions to religious schools. The act makes it unlawful to discriminate in, amongst other things, education against people who have certain protected attributes, as the act prescribes. These attributes include sex, sexual orientation, gender identity, intersex status, marital or relationship status, pregnancy or potential pregnancy and breastfeeding. The bill before us would require that religious schools conform to this provision of the act in relation to students. I point out, however, that while sexual orientation, gender identity, intersex status and marital or relationship status are protected attributes under the act, political advocacy and activism are not. There has also been discussion around subsections (1) and (2) of section 38 of the act, and I think there is a need to reconcile and balance different rights. I believe the balancing of rights is desirable. In those circumstances, I believe an appropriately drafted, positively expressed right to religious freedom should be legislated. I want to thank the Senate Legal and Constitutional Affairs Committee. The committee worked together very well and productively and the secretariat workeddare I say ita miracle to produce the report in a very short time. Labor has decided to act, and it is on that basis that I'm happy to commend Senator Wong's bill to the Senate.        "
11,2013,"Boyce, Sen Sue",0,LP,QLD,"These aren't appeals to sympathy; they're arguments that same-sex marriage would be good for all of us--and for conservative reasons to boot. Those reasons are the same reasons that those who support marriage as the union between a man and a woman espouse for their marriages. A marriage is a special commitment. A marriage provides more security for those in it, including the children who would be in it. There is no reason not to allow same-sex marriage in Australia. I believe that this bill will assist us in moving towards that. If we are to vote on this bill, I will be supporting it. "
12,2013,"Ludlam, Sen Scott",1,AG,WA,"I rise to support the Marriage Act Amendment (Recognition of Foreign Marriages for Same-Sex Couples) Bill 2013, which my colleague Senator Hanson-Young has brought before the chamber as part of a long and somewhat arduous campaign in favour of something that we in the Australian Greens believe is completely obvious. I want to acknowledge and congratulate Senator Boyce for the contribution that she just made. Those sorts of contributions are all too rare in this place. When people are considering matters and voting on their conscience, the quality of the debate is measurably improved. So thank you, Senator Boyce, for having the courage to do what you have just done. The only qualification I will make is that, in the Australian Greens, we do have a conscience vote on all matters. You have to go back quite some time in the Hansard record to find that being exercised, but we do vote with our conscience on all of these matters. I think it is part of the reason for our success.                 "
13,2013,"Griff, Sen Stirling",1,CA,SA,"This bill represents a significant change to the Sex Discrimination Act and, as such, should not be rushed through this week. There is absolutely no urgency for this bill to be dealt with this week, as particularly religious schools generally don't rely on these provisions in practice. We support the intent of what Labor is trying to do with this bill for the simple reason that we do not support discrimination against students. We support the intent of the Greens to ensure teachers are not discriminated against and we also support the intent of the government to ensure religious freedoms are protected. Our view overall is that this bill should have been sent off for proper inquiry and scrutiny. This would provide all with the necessary time to properly consider all implications and input from stakeholders. As the bill now stands, our party considers the topic one for a conscience vote, but we all came to a united approach on thisand that is that we will support this bill because its intentions align with ours, but we cannot at this stage support any additional amendments. We have been forced into this position because we have not had a real opportunity to consider the implications and unintended consequences of all the amendments.                "
14,2014,"Griff, Sen Stirling",1,CA,SA,"On these amendments we have been hearing, particularly in the last two hours, a very diverse range of viewsmany of them conflictingwhich tells us that even those that seem somewhat straightforward may potentially open a Pandora's box of problems. For instance, we support what the government is seeking to do with ensuring teachers can teach in accordance with their faith. But this may simply create an avenue for discriminatory treatment of students to creep in. We are also unsure that we need to bolt on additional protections to the existing reasonableness test that exists at 7B in the act. Maybe it's appropriate or maybe it is unnecessary. We simply haven't had the time to fully consider the implications, so we will abstain on this and the other government amendments.                 We know there is bipartisan support in this place and the other place for amending the Sex Discrimination Act so that schools cannot discriminate against LGBTQI students and teachers. It is unfortunate that there is no consensus about how to proceed. Labor's bill amends section 37 of the Sex Discrimination Act and repeals section 38(3). In effect, this bill proposes to remove existing protections that currently allow religious schools to discriminate against lesbian, gay, bisexual, transgender, queer and intersex students if it's done in line with their religious doctrine or if it is to avoid injury to the religious susceptibilities of adherents of that religion. We appreciate that this bill makes religious schools very nervous. Removing familiar protections will inevitably have that effect. We accept this might mean religious schools have to rethink their approach to some students in some instances. But, in practice, this should not stop religious schools from teaching their faith. But we also understand that these provisions are not heavily relied on by schools as it is. My office has also been told by Christian school stakeholders that they fear some students might be tempted to make mischief and abuse the weakened protections. I'm not entirely sure how or why a student would do so, especially if they want to be at that school. But that kind of fearmongering misses the point. We need to legislate to protect the rights of the many, not to quash the rights of the many in order to protect against extreme scenarios. This bill may well end up not being legislated. We may yet see other attempts to amend the Sex Discrimination Act. Whatever we are faced with, in this parliament or the next, Centre Alliance will approach it with a view to ensuring equality of treatment for all students, regardless of their sexual orientation or gender identity. This is ultimately about keeping our society moving on a path towards equality and acceptance of all people."
15,2014,"Wong, Sen Penny",0,ALP,SA,"I have spoken on the Second Readingg; I just want to briefly speak to the Second Readingg amendment moved by Senator Collins, which is on sheet 8606. So I rise to speak on that amendment. Today, as I've previously said, we do have an opportunity to do what this parliament too often fails to do; to come together on an issue on which we all agree and change the country for the better. The bill does one thing, and one thing only; that is, to ensure that every Australian child, no matter their gender or sexual orientation, is treated equally. It will make this country a more equal place, nothing more. It won't prevent schools from requiring students to attend chapel, it won't prevent schools from requiring uniforms and it won't preventlet me be very clearthe teaching of religious education. To put that issue beyond doubt, Senator Collins has moved the Second Readingg amendment on sheet 8606 to that effect. I support that amendment.                "
16,2014,"Hanson-Young, Sen Sarah",0,AG,SA,"I rise today to speak in favour of the Marriage Equality Amendment Bill 2010. I also point out to the senators in the chamber and, of course, to those who may be listening to this debate that this also includes amendments that have been circulated since this bill went through a very thorough Senate inquiry. The report of that inquiry determined, in order to put at ease some of the concerns in relation to religious freedom, that the bill be strengthened in that area. That would ensure that for those who want to make sure churches and religious groups can continue to marry those whom they feel they would best like to are able to do so without being impinged upon by any of the changes that this bill would inflict on the Marriage Act. The ability has always been there for religious organisations to determine who they marry and who they do not. We have churches making that decision on a daily basis. The circulated amendments suggest that there is no doubt that that is the case under this bill.                "
17,2014,"Hanson-Young, Sen Sarah",0,AG,SA,"The main purpose of this marriage equality bill is to remove the current discrimination in the Marriage Act so as to clearly allow for two people, regardless of their gender, regardless of their sexuality, the legal right to marry. This is a campaign for true equality within the Australian law. It is something that has been fought long and hard, not just here in Australia but also around the world. We know that country after country continues to take up this very, very important cause, putting truth behind the belief for equality for all.                 If this parliament were to agree to this bill and to pass it into law, we could take advantage of the strong opportunity that we know exists for same-sex couples in the Australian community who desperately want the right to marry under law. The parliament could take the opportunity by both hands to make a reform that the majority of Australians believe in. The majority of Australians now agree that marriage equality's time has come. Poll after poll has proven that there has been a shift in the mindset of the Australian community to accept that true equality must include the amendments to the Marriage Act to allow equality to reign in love. That is what this bill proposes to do."
18,2015,"Hanson-Young, Sen Sarah",0,AG,SA,"There is huge support for marriage equality in Australia, and the parliament that gets it right, the parliament that can take hold of this need and desire for and belief in equality, will be a parliament that the Australian public congratulates wholeheartedly. We know that support for this reform crosses all boundaries cities, suburbs, regional areas, the bush, as well as the various political parties. The majority of coalition voters support marriage equality. The majority of Christian Australians support marriage equality. We have had representatives from various religious organisations and churches walk the halls of this place asking us to give all Australians a fair go by ensuring that the institution of marriage can be strengthened for evermore and that the strength that marriage gives families can be recognised by this parliament.                 The importance of allowing two people's relationship to be understood and defined by the universal language of marriage and love is something that MPs in this place should grab hold of; they should stand tall and accept that we are doing a good thing. The majority of Australians believe that this is the right thing to do, and more and more people agree that this change should happen. The fight for marriage equality is not going to be won and lost in this place; it has already been won out there in the Australian community. It is now up to this place to recognise that, unlike some issues, where we are leading the way, in this one, unfortunately, we are following. But we can turn that around and accept that if Cupid does not discriminate neither should the law. Love is love and equality does matter.             "
